City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,54,19,24,0.5,5,92,103,8
阿克苏地区,65,25,77,0.5,24,96,112,4
阿拉善盟,86,31,50,0.57,21,123,142,10
阿勒泰地区,27,8,0,0.1,14,37,52,6
阿里地区,0,0,0,0.0,0,0,103,0
安康,53,18,53,0.6,30,47,70,8
安庆,76,42,71,0.74,37,103,130,10
鞍山,96,56,140,1.3,32,110,105,24
安顺,54,37,44,0.78,28,33,53,17
安阳,154,117,131,1.06,32,145,165,18
白城,49,15,44,0.3,17,81,97,12
百色,34,21,33,1.1,22,5,13,8
白山,52,18,52,0.8,19,78,93,23
白银,70,16,51,0.5,14,117,122,15
保定,83,51,114,0.5,47,86,133,12
宝鸡,93,69,113,0.94,70,51,107,6
保山,61,16,23,0.55,17,95,111,4
包头,83,61,105,1.62,110,12,91,31
巴彦淖尔,59,25,65,0.97,53,57,100,22
巴中,39,10,21,0.3,17,65,77,4
北海,56,27,59,0.9,15,69,92,6
北京,93,69,108,0.63,42,104,126,8
蚌埠,83,57,114,0.58,51,80,133,21
本溪,64,31,75,1.33,35,74,80,21
毕节,63,44,68,0.65,27,48,64,12
滨州,68,46,83,1.2,74,41,110,13
博州,66,14,40,0.15,29,98,117,7
亳州,127,96,131,0.3,18,124,152,8
沧州,83,61,113,0.77,46,89,126,24
长春,70,37,88,0.78,28,73,85,13
常德,45,31,44,0.88,43,55,88,8
昌都,49,9,12,0.7,18,78,96,4
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,56,16,34,0.53,22,76,106,9
长沙,50,35,42,0.8,46,21,41,5
常熟,65,38,78,0.53,39,86,115,13
长治,111,52,99,0.78,22,128,170,10
常州,75,54,84,0.74,53,75,86,14
朝阳,77,43,102,0.9,39,46,82,14
潮州,49,29,42,0.83,21,89,96,15
承德,61,33,69,0.68,46,64,94,18
成都,54,28,55,0.68,48,45,74,6
郴州,20,5,8,0.6,14,43,39,4
赤峰,50,15,49,0.7,49,40,77,16
池州,73,35,52,0.6,61,60,126,6
重庆,53,36,51,0.67,32,29,46,7
崇左,31,10,0,0.8,7,42,61,2
楚雄州,64,13,24,0.75,11,111,115,19
滁州,87,64,121,0.63,33,116,134,9
大连,68,32,66,0.65,29,133,120,11
大理州,56,12,21,0.55,8,114,106,4
丹东,56,30,59,0.68,20,73,92,11
大庆,71,16,89,0.35,8,81,95,4
大同,80,48,108,1.05,66,40,88,43
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,48,17,0,0.5,22,78,95,24
达州,33,18,32,0.4,42,45,52,7
德宏州,56,15,36,0.8,35,71,106,6
德阳,58,30,63,0.53,30,62,77,5
德州,119,89,155,0.97,33,130,137,14
定西,66,23,41,0.3,28,92,118,6
迪庆州,53,18,14,0.6,7,113,102,6
东莞,69,49,65,0.88,65,45,119,10
东营,82,47,111,0.75,104,54,126,20
鄂尔多斯,49,13,43,0.72,69,46,97,12
恩施州,49,19,48,0.55,41,20,52,4
鄂州,67,44,81,0.7,47,75,105,24
防城港,61,29,70,1.07,32,29,56,4
佛山,88,65,116,1.1,91,30,88,11
抚顺,99,63,145,1.5,53,63,85,44
阜新,86,61,120,1.26,45,52,79,35
阜阳,108,71,110,0.6,24,125,167,5
富阳,0,0,0,0.0,0,0,0,0
福州,40,6,14,0.48,21,80,78,4
抚州,34,20,33,0.68,15,37,46,6
甘南州,70,19,34,0.5,19,114,122,4
赣州,22,10,19,1.26,12,46,42,4
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,29,8,0,0.1,15,62,56,13
广安,28,18,27,0.52,14,53,52,6
广元,42,12,41,0.4,16,63,67,11
广州,88,62,124,1.18,99,22,82,8
贵港,19,11,13,0.78,11,43,37,6
桂林,37,17,21,0.68,16,61,72,7
贵阳,33,23,30,0.58,18,49,45,7
果洛州,46,24,37,0.2,8,80,90,15
固原,72,24,75,0.7,33,105,125,10
哈尔滨,91,34,129,0.55,19,68,86,26
海北州,81,29,55,0.5,9,115,135,14
海东地区,92,42,63,0.5,30,149,149,11
海口,34,13,33,0.46,9,52,59,4
海门,43,24,38,0.5,19,69,84,9
海南州,81,33,35,0.7,27,104,136,11
海西州,52,29,52,1.8,14,94,95,8
哈密地区,55,10,58,0.9,48,0,87,2
邯郸,126,95,165,0.83,31,153,163,16
杭州,70,47,88,0.86,79,8,37,7
汉中,45,20,40,0.7,26,64,88,6
鹤壁,103,76,132,0.67,31,149,157,16
河池,20,10,18,0.8,20,22,38,6
合肥,103,76,133,1.01,78,90,151,9
鹤岗,81,59,98,0.6,16,88,91,10
黑河,62,36,72,0.5,17,80,88,9
衡水,89,55,126,0.6,28,124,135,13
衡阳,24,11,18,0.58,22,41,46,5
和田地区,96,41,139,0.25,29,91,103,5
河源,45,31,42,1.17,36,25,67,5
菏泽,100,67,147,0.8,30,120,145,11
贺州,35,24,0,0.7,17,29,28,11
红河州,76,55,52,0.87,11,87,110,11
淮安,70,17,53,0.42,24,83,122,6
淮北,87,47,98,0.6,29,115,143,14
怀化,31,15,29,0.84,27,32,60,6
淮南,102,69,152,0.57,38,104,147,11
黄冈,69,38,85,0.95,37,81,107,17
黄南州,71,30,53,0.7,9,113,123,10
黄山,47,16,29,0.4,13,71,92,11
黄石,60,41,68,0.92,35,81,96,10
呼和浩特,70,40,87,1.02,62,55,104,21
惠州,61,28,48,0.65,22,105,111,6
葫芦岛,99,54,146,1.3,50,82,96,18
呼伦贝尔,49,16,0,0.5,22,80,96,5
湖州,78,57,85,0.85,82,40,64,16
佳木斯,160,121,154,1.32,59,45,83,19
吉安,40,27,39,0.53,18,53,51,7
江门,52,25,52,0.78,39,43,79,9
江阴,76,55,83,1.17,58,53,111,15
胶南,54,9,19,0.6,9,93,103,1
胶州,46,16,38,0.6,30,77,90,5
焦作,99,74,137,0.85,41,117,149,15
嘉兴,58,40,59,0.7,42,64,86,15
